,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
337,The Open House (2018),3.2,"Horror, Thriller",94 min,Matt Angel,"Suzanne Coote,Dylan Minnette,Piercey Dalton,Patricia Bethune,Sharif Atkins,","31,217",
338,The Cloverfield Paradox (2018),5.5,"Action, Horror, Sci-Fi",102 min,Julius Onah,"Gugu Mbatha-Raw,David Oyelowo,Daniel Brühl,John Ortiz,","95,511",PG-13
339,Irreplaceable You (2018),6.4,"Comedy, Drama, Romance",96 min,Stephanie Laing,"Gugu Mbatha-Raw,Michiel Huisman,Steve Coogan,Timothy Simons,","8,164",
340,Mute (II) (2018),5.4,"Mystery, Sci-Fi, Thriller",126 min,Duncan Jones,"Alexander Skarsgård,Paul Rudd,Justin Theroux,Levi Eisenblätter,","30,922",18
341,The Outsider (I) (2018),6.3,"Action, Crime, Drama",120 min,Martin Zandvliet,"Jared Leto,Tadanobu Asano,Kippei Shîna,Shioli Kutsuna,","20,617",
342,Paradox (II) (2018),3.9,"Fantasy, Music",73 min,Daryl Hannah,"Neil Young,Lukas Nelson,Micah Nelson,Corey McCormick,",616,
343,O Matador (2017),6.1,"Action, Western",99 min,Marcelo Galvão,"Maria de Medeiros,Diogo Morgado,Kyle McCarley,Thaila Ayala,","2,161",
344,Roxanne Roxanne (2017),6.2,"Biography, Drama, Music",100 min,Michael Larnell,"Chanté Adams,Nia Long,Mahershala Ali,Germar Terrell Gardner,","2,765",
345,First Match (2018),6.4,"Drama, Sport",102 min,Olivia Newman,"Elvire Emanuelle,Yahya Abdul-Mateen II,Colman Domingo,Jharrel Jerome,","1,972",
346,6 Balloons (2018),5.9,Drama,74 min,Marja-Lewis Ryan,"Abbi Jacobson,Dave Franco,Charlotte Carel,Madeline Carel,","3,659",
347,Amateur (2018),5.9,"Drama, Sport",96 min,Ryan Koo,"Michael Rainey Jr.,Tekola Cornetet,Hanna Longo,Walter Anaruk,","3,665",
348,Come Sunday (2018),6,"Biography, Drama",106 min,Joshua Marston,"Chiwetel Ejiofor,Gerard Catus,Allie McCulloch,LaKeith Stanfield,","1,980",
349,Rimetti a noi i nostri debiti (2018),6,Drama,104 min,Antonio Morabito,"Claudio Santamaria,Marco Giallini,Jerzy Stuhr,Flonja Kodheli,","1,343",
350,Lust Stories (2018),6.5,"Drama, Romance",120 min,Zoya Akhtar,"Dibakar Banerjee,Karan Johar,Anurag Kashyap,Radhika Apte,Bhumi Pednekar,Kiara Advani,Vicky Kaushal,","9,693",A
351,Calibre (2018),6.8,"Drama, Thriller",101 min,Matt Palmer,"Jack Lowden,Martin McCann,Tony Curran,Ian Pirie,","22,638",
352,Tau (2018),5.8,"Sci-Fi, Thriller",97 min,Federico D'Alessandro,"Maika Monroe,Ed Skrein,Gary Oldman,Fiston Barek,","27,074",R
353,How It Ends (2018),5,"Action, Adventure, Drama",113 min,David M. Rosenthal,"Theo James,Kat Graham,Nancy Sorel,Nicole Ari Parker,","44,790",
354,Extinction (2018),5.8,"Action, Drama, Sci-Fi",95 min,Ben Young,"Michael Peña,Lizzy Caplan,Amelia Crouch,Erica Tremblay,","46,787",16
355,La femme la plus assassinée du monde (2018),5.3,"Biography, Drama, Mystery",102 min,Franck Ribière,"Anna Mouglalis,Niels Schneider,Eric Godon,André Wilms,",931,
356,Next Gen (I) (2018),6.6,"Animation, Action, Adventure",106 min,Kevin R. Adams,"Joe Ksander,Ricardo Curtis,John Krasinski,Charlyne Yi,Jason Sudeikis,Michael Peña,","14,126",
357,The Land of Steady Habits (2018),6.2,"Comedy, Drama",98 min,Nicole Holofcener,"Bill Camp,Elizabeth Marvel,Ben Mendelsohn,Connie Britton,","6,404",
358,The Angel (2018),6.6,"Drama, Thriller",114 min,Ariel Vromen,"Toby Kebbell,Marwan Kenzari,Hannah Ware,Waleed Zuaiter,","11,944",
359,Hold the Dark (2018),5.6,"Action, Drama, Thriller",125 min,Jeremy Saulnier,"Jeffrey Wright,Alexander Skarsgård,James Badge Dale,Riley Keough,","33,449",16
360,Private Life (2018),7.2,"Comedy, Drama",123 min,Tamara Jenkins,"Kathryn Hahn,Paul Giamatti,Gabrielle Reid,Amy Russ,","16,039",R
361,22 July (2018),6.8,"Crime, Drama, History",143 min,Paul Greengrass,"Anders Danielsen Lie,Jonas Strand Gravli,Jon Øigarden,Maria Bock,","28,296",R
362,Apostle (2018),6.3,"Drama, Fantasy, Horror",130 min,Gareth Evans,"Dan Stevens,Richard Elfyn,Paul Higgins,Bill Milner,","43,631",
363,The Night Comes for Us (2018),7,"Action, Thriller",121 min,Timo Tjahjanto,"Joe Taslim,Iko Uwais,Hannah Al Rashid,Julie Estelle,","21,178",18
364,Been So Long (2018),5.4,"Drama, Musical, Romance",100 min,Tinge Krishnan,"Michaela Coel,Mya Lewis,Arinzé Kene,George MacKay,",921,
365,The Other Side of the Wind (2018),6.8,Drama,122 min,Orson Welles,"John Huston,Oja Kodar,Peter Bogdanovich,Susan Strasberg,","6,313",R
366,Outlaw King (2018),6.9,"Action, Biography, Drama",121 min,David Mackenzie,"Chris Pine,Stephen Dillane,Rebecca Robin,Billy Howle,","60,268",18
367,Cam (2018),5.9,"Drama, Horror, Mystery",94 min,Daniel Goldhaber,"Madeline Brewer,Patch Darragh,Melora Walters,Devin Druid,","26,797",
368,The Ballad of Buster Scruggs (2018),7.3,"Comedy, Drama, Musical",133 min,Ethan Coen,"Joel Coen,Tim Blake Nelson,Willie Watson,Clancy Brown,Danny McCarthy,","122,678",R
369,Mowgli (2018),6.5,"Adventure, Drama, Fantasy",104 min,Andy Serkis,"Christian Bale,Cate Blanchett,Benedict Cumberbatch,Naomie Harris,","56,448",PG-13
370,Roma (2018),7.7,Drama,135 min,Alfonso Cuarón,"Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta,","140,443",16
371,Bird Box (2018),6.6,"Horror, Sci-Fi",124 min,Susanne Bier,"Sandra Bullock,Trevante Rhodes,John Malkovich,Sarah Paulson,","279,690",18
372,IO (2019),4.7,"Adventure, Drama, Sci-Fi",96 min,Jonathan Helpert,"Margaret Qualley,Anthony Mackie,Danny Huston,Tom Payne,","31,119",
373,Soni (2018),7.1,Drama,97 min,Ivan Ayr,"Geetika Vidya Ohlyan,Saloni Batra,Vikas Shukla,Mohit Chauhan,","2,379",
374,Polar (I) (2019),6.3,"Action, Crime, Drama",118 min,Jonas Åkerlund,"Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Fei Ren,","75,562",18
375,Velvet Buzzsaw (2019),5.7,"Horror, Mystery, Thriller",113 min,Dan Gilroy,"Jake Gyllenhaal,Rene Russo,Zawe Ashton,Tom Sturridge,","54,221",R
376,High Flying Bird (2019),6.2,"Drama, Sport",90 min,Steven Soderbergh,"André Holland,Melvin Gregg,Eddie Tavares,Farah Bala,","7,598",
377,Firebrand (2019),5.1,Drama,116 min,Aruna Raje,"Usha Jadhav,Girish Kulkarni,Sachin Khedekar,Rajeshwari Sachdev,",242,
378,Paris est à nous (2019),4.6,Drama,83 min,Elisabeth Vogler,"Noémie Schmidt,Grégoire Isvarine,Marie Mottet,Lou Castel,","1,254",
379,Paddleton (2019),7.2,"Comedy, Drama",89 min,Alex Lehmann,"Christine Woods,Mark Duplass,Ray Romano,Jen Sung,","11,262",
380,Walk,6.4,"Biography, Drama",100 min,Conor Allyn,"Spencer Locke,Missi Pyle,Bailey Chase,Alyvia Alyn Lind,","1,921",
381,Juanita (I) (2019),5.9,Drama,90 min,Clark Johnson,"Alfre Woodard,Bonnie Johnson,Jordan Nia Elizabeth,Acoryé White,","2,092",
382,Triple Frontier (2019),6.4,"Action, Adventure, Crime",125 min,J.C. Chandor,"Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund,","108,047",18
383,The Dirt (2018),7,"Biography, Comedy, Drama",107 min,Jeff Tremaine,"Douglas Booth,Iwan Rheon,Machine Gun Kelly,Daniel Webber,","39,924",
384,The Highwaymen (2019),6.9,"Biography, Crime, Drama",132 min,John Lee Hancock,"Kevin Costner,Woody Harrelson,Kathy Bates,John Carroll Lynch,","75,273",R
385,The Ridiculous 6 (2015),4.8,"Action, Adventure, Comedy",119 min,Frank Coraci,"Adam Sandler,Terry Crews,Jorge Garcia,Taylor Lautner,","44,542",
386,Pee-wee's Big Holiday (2016),6.1,"Comedy, Family",90 min,John Lee,"Paul Reubens,Jordan Black,Doug Cox,Linda Porter,","7,272",
387,Special Correspondents (2016),5.8,Comedy,101 min,Ricky Gervais,"Ricky Gervais,Eric Bana,Vera Farmiga,Kelly Macdonald,","20,725",
388,The Do-Over (2016),5.7,"Action, Adventure, Comedy",108 min,Steven Brill,"Adam Sandler,David Spade,Paula Patton,Kathryn Hahn,","40,679",18
389,Brahman Naman (2016),5.6,Comedy,95 min,Qaushiq Mukherjee,"Shashank Arora,Tanmay Dhanania,Chaitanya Varad,Vaishwath Shankar,","1,755",18
390,Mascots (2016),5.7,Comedy,89 min,Christopher Guest,"Zach Woods,Wayne Wilderson,Sarah Baker,Michael Hitchcock,","6,733",
391,True Memoirs of an International Assassin (2016),5.9,"Action, Comedy, Crime",98 min,Jeff Wadlow,"Kevin James,Kim Coates,Maurice Compte,Zulay Henao,","20,422",
392,Take the 10 (2017),4.7,Comedy,80 min,Chester Tam,"Josh Peck,Tony Revolori,Kevin Corrigan,Chester Tam,","2,813",
393,Girlfriend's Day (2017),5.2,"Comedy, Drama",65 min,Michael Paul Stephenson,"Bob Odenkirk,Amber Tamblyn,Stacy Keach,Alex Karpovsky,","3,465",
394,Win It All (2017),6.2,Comedy,88 min,Joe Swanberg,"Jake Johnson,Rony Shemon,Morgan Ng,Edward Kaihatsu,","8,214",
395,Sandy Wexler (2017),5.2,Comedy,130 min,Steven Brill,"Adam Sandler,Jennifer Hudson,Kevin James,Colin Quinn,","14,854",
396,Small Crimes (2017),5.8,"Crime, Drama, Thriller",95 min,E.L. Katz,"Nikolaj Coster-Waldau,Robert Forster,Jacki Weaver,Molly Parker,","6,899",
397,Handsome: A Netflix Mystery Movie (2017),5.2,"Comedy, Mystery",80 min,Jeff Garlin,"Ava Acres,Armani GreatDane,Dino Battaglia,Brent Bradshaw,","4,006",
398,War Machine (2017),6,"Comedy, Drama, War",122 min,David Michôd,"Brad Pitt,Daniel Betts,John Magaro,Emory Cohen,","41,910",
399,The Incredible Jessica James (2017),6.5,Comedy,85 min,Jim Strouse,"Jessica Williams,Chris O'Dowd,LaKeith Stanfield,Noël Wells,","6,403",
