,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
215,iBoy (2017),6,"Action, Crime, Sci-Fi",90 min,Adam Randall,"Bill Milner,Maisie Williams,Miranda Richardson,Rory Kinnear,","20,594",18
216,Imperial Dreams (2014),6.7,Drama,87 min,Malik Vitthal,"John Boyega,Rotimi,Glenn Plummer,De'aundre Bonds,","4,062",
217,I Don't Feel at Home in This World Anymore,6.9,"Comedy, Crime, Drama",93 min,Macon Blair,"Melanie Lynskey,Chris Doubek,Marilyn Faith Hickey,Jared Roylance,","49,054",
218,Burning Sands (2017),6,Drama,96 min,Gerard McMurray,"Trevor Jackson,Tosin Cole,DeRon Horton,Alfre Woodard,","2,575",
219,Deidra & Laney Rob a Train (2017),6.1,"Comedy, Crime, Drama",92 min,Sydney Freeland,"Ashleigh Murray,Rachel Crow,Lance Gray,Danielle Nicolet,","1,625",
220,The Most Hated Woman in America (2017),6.1,"Biography, Drama, History",91 min,Tommy O'Haver,"Melissa Leo,Brandon Mychal Smith,Juno Temple,Michael Chernus,","5,480",
221,The Discovery (I) (2017),6.3,"Drama, Romance, Sci-Fi",102 min,Charlie McDowell,"Robert Redford,Mary Steenburgen,Brian McCarthy,Jason Segel,","29,882",
222,Sand Castle (2017),6.3,"Action, Drama, War",113 min,Fernando Coimbra,"Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Glen Powell,","19,618",16+
223,Tramps (2016),6.5,"Comedy, Romance",82 min,Adam Leon,"Callum Turner,Grace Van Patten,Michal Vondel,Mike Birbiglia,","4,633",
224,Blame! (2017),6.7,"Animation, Action, Drama",106 min,Hiroyuki Seshita,"Takahiro Sakurai,Kana Hanazawa,Sora Amamiya,Mamoru Miyano,","7,025",
225,Shimmer Lake (2017),6.3,"Crime, Drama, Mystery",86 min,Oren Uziel,"Benjamin Walker,Rainn Wilson,Stephanie Sigman,John Michael Higgins,","11,694",
226,Okja (2017),7.3,"Action, Adventure, Drama",120 min,Bong Joon Ho,"Tilda Swinton,Paul Dano,Seo-hyun Ahn,Jake Gyllenhaal,","105,053",UA
227,To the Bone (I) (2017),6.8,Drama,107 min,Marti Noxon,"Rebekah Kennedy,Lily Collins,Dana L. Wilson,Ziah Colon,","41,176",
228,Death Note (I) (2017),4.5,"Action, Crime, Drama",101 min,Adam Wingard,"Nat Wolff,LaKeith Stanfield,Margaret Qualley,Shea Whigham,","76,248",18
229,First They Killed My Father (2017),7.2,"Biography, Drama, History",136 min,Angelina Jolie,"Sareum Srey Moch,Phoeung Kompheak,Sveng Socheata,Mun Kimhak,","15,644",
230,Gerald's Game (2017),6.6,"Drama, Horror, Thriller",103 min,Mike Flanagan,"Carla Gugino,Bruce Greenwood,Chiara Aurelia,Carel Struycken,","90,037",18
231,Our Souls at Night (2017),6.9,"Drama, Romance",103 min,Ritesh Batra,"Robert Redford,Jane Fonda,Matthias Schoenaerts,Iain Armitage,","11,370",
232,The Meyerowitz Stories (New and Selected) (2017),6.9,"Comedy, Drama",112 min,Noah Baumbach,"Adam Sandler,Grace Van Patten,Dustin Hoffman,Elizabeth Marvel,","42,771",
233,1922 (2017),6.3,"Crime, Drama, Horror",102 min,Zak Hilditch,"Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard,","53,286",18
234,Wheelman (2017),6.4,"Action, Crime, Thriller",82 min,Jeremy Rush,"Frank Grillo,Caitlin Carmichael,Garret Dillahunt,Shea Whigham,","17,558",
235,Christmas Inheritance (2017),5.7,"Comedy, Drama, Romance",104 min,Ernie Barbarash,"Eliza Taylor,Jake Lacy,Andie MacDowell,Neil Crone,","10,022",
236,Bright (I) (2017),6.3,"Action, Fantasy, Thriller",117 min,David Ayer,"Will Smith,Joel Edgerton,Noomi Rapace,Edgar Ramírez,","168,895",18
237,The Open House (2018),3.2,"Horror, Thriller",94 min,Matt Angel,"Suzanne Coote,Dylan Minnette,Piercey Dalton,Patricia Bethune,Sharif Atkins,","31,217",
238,The Cloverfield Paradox (2018),5.5,"Action, Horror, Sci-Fi",102 min,Julius Onah,"Gugu Mbatha-Raw,David Oyelowo,Daniel Brühl,John Ortiz,","95,511",PG-13
239,Irreplaceable You (2018),6.4,"Comedy, Drama, Romance",96 min,Stephanie Laing,"Gugu Mbatha-Raw,Michiel Huisman,Steve Coogan,Timothy Simons,","8,164",
240,Mute (II) (2018),5.4,"Mystery, Sci-Fi, Thriller",126 min,Duncan Jones,"Alexander Skarsgård,Paul Rudd,Justin Theroux,Levi Eisenblätter,","30,922",18
241,The Outsider (I) (2018),6.3,"Action, Crime, Drama",120 min,Martin Zandvliet,"Jared Leto,Tadanobu Asano,Kippei Shîna,Shioli Kutsuna,","20,617",
242,Paradox (II) (2018),3.9,"Fantasy, Music",73 min,Daryl Hannah,"Neil Young,Lukas Nelson,Micah Nelson,Corey McCormick,",616,
243,O Matador (2017),6.1,"Action, Western",99 min,Marcelo Galvão,"Maria de Medeiros,Diogo Morgado,Kyle McCarley,Thaila Ayala,","2,161",
244,Roxanne Roxanne (2017),6.2,"Biography, Drama, Music",100 min,Michael Larnell,"Chanté Adams,Nia Long,Mahershala Ali,Germar Terrell Gardner,","2,765",
245,First Match (2018),6.4,"Drama, Sport",102 min,Olivia Newman,"Elvire Emanuelle,Yahya Abdul-Mateen II,Colman Domingo,Jharrel Jerome,","1,972",
246,6 Balloons (2018),5.9,Drama,74 min,Marja-Lewis Ryan,"Abbi Jacobson,Dave Franco,Charlotte Carel,Madeline Carel,","3,659",
247,Amateur (2018),5.9,"Drama, Sport",96 min,Ryan Koo,"Michael Rainey Jr.,Tekola Cornetet,Hanna Longo,Walter Anaruk,","3,665",
248,Come Sunday (2018),6,"Biography, Drama",106 min,Joshua Marston,"Chiwetel Ejiofor,Gerard Catus,Allie McCulloch,LaKeith Stanfield,","1,980",
249,Rimetti a noi i nostri debiti (2018),6,Drama,104 min,Antonio Morabito,"Claudio Santamaria,Marco Giallini,Jerzy Stuhr,Flonja Kodheli,","1,343",
250,Lust Stories (2018),6.5,"Drama, Romance",120 min,Zoya Akhtar,"Dibakar Banerjee,Karan Johar,Anurag Kashyap,Radhika Apte,Bhumi Pednekar,Kiara Advani,Vicky Kaushal,","9,693",A
251,Calibre (2018),6.8,"Drama, Thriller",101 min,Matt Palmer,"Jack Lowden,Martin McCann,Tony Curran,Ian Pirie,","22,638",
252,Tau (2018),5.8,"Sci-Fi, Thriller",97 min,Federico D'Alessandro,"Maika Monroe,Ed Skrein,Gary Oldman,Fiston Barek,","27,074",R
253,How It Ends (2018),5,"Action, Adventure, Drama",113 min,David M. Rosenthal,"Theo James,Kat Graham,Nancy Sorel,Nicole Ari Parker,","44,790",
254,Extinction (2018),5.8,"Action, Drama, Sci-Fi",95 min,Ben Young,"Michael Peña,Lizzy Caplan,Amelia Crouch,Erica Tremblay,","46,787",16
255,La femme la plus assassinée du monde (2018),5.3,"Biography, Drama, Mystery",102 min,Franck Ribière,"Anna Mouglalis,Niels Schneider,Eric Godon,André Wilms,",931,
256,Next Gen (I) (2018),6.6,"Animation, Action, Adventure",106 min,Kevin R. Adams,"Joe Ksander,Ricardo Curtis,John Krasinski,Charlyne Yi,Jason Sudeikis,Michael Peña,","14,126",
257,The Land of Steady Habits (2018),6.2,"Comedy, Drama",98 min,Nicole Holofcener,"Bill Camp,Elizabeth Marvel,Ben Mendelsohn,Connie Britton,","6,404",
258,The Angel (2018),6.6,"Drama, Thriller",114 min,Ariel Vromen,"Toby Kebbell,Marwan Kenzari,Hannah Ware,Waleed Zuaiter,","11,944",
259,Hold the Dark (2018),5.6,"Action, Drama, Thriller",125 min,Jeremy Saulnier,"Jeffrey Wright,Alexander Skarsgård,James Badge Dale,Riley Keough,","33,449",16
260,Private Life (2018),7.2,"Comedy, Drama",123 min,Tamara Jenkins,"Kathryn Hahn,Paul Giamatti,Gabrielle Reid,Amy Russ,","16,039",R
261,22 July (2018),6.8,"Crime, Drama, History",143 min,Paul Greengrass,"Anders Danielsen Lie,Jonas Strand Gravli,Jon Øigarden,Maria Bock,","28,296",R
262,Apostle (2018),6.3,"Drama, Fantasy, Horror",130 min,Gareth Evans,"Dan Stevens,Richard Elfyn,Paul Higgins,Bill Milner,","43,631",
263,The Night Comes for Us (2018),7,"Action, Thriller",121 min,Timo Tjahjanto,"Joe Taslim,Iko Uwais,Hannah Al Rashid,Julie Estelle,","21,178",18
264,Been So Long (2018),5.4,"Drama, Musical, Romance",100 min,Tinge Krishnan,"Michaela Coel,Mya Lewis,Arinzé Kene,George MacKay,",921,
265,The Other Side of the Wind (2018),6.8,Drama,122 min,Orson Welles,"John Huston,Oja Kodar,Peter Bogdanovich,Susan Strasberg,","6,313",R
266,Outlaw King (2018),6.9,"Action, Biography, Drama",121 min,David Mackenzie,"Chris Pine,Stephen Dillane,Rebecca Robin,Billy Howle,","60,268",18
267,Cam (2018),5.9,"Drama, Horror, Mystery",94 min,Daniel Goldhaber,"Madeline Brewer,Patch Darragh,Melora Walters,Devin Druid,","26,797",
268,The Ballad of Buster Scruggs (2018),7.3,"Comedy, Drama, Musical",133 min,Ethan Coen,"Joel Coen,Tim Blake Nelson,Willie Watson,Clancy Brown,Danny McCarthy,","122,678",R
269,Mowgli (2018),6.5,"Adventure, Drama, Fantasy",104 min,Andy Serkis,"Christian Bale,Cate Blanchett,Benedict Cumberbatch,Naomie Harris,","56,448",PG-13
270,Roma (2018),7.7,Drama,135 min,Alfonso Cuarón,"Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta,","140,443",16
271,Bird Box (2018),6.6,"Horror, Sci-Fi",124 min,Susanne Bier,"Sandra Bullock,Trevante Rhodes,John Malkovich,Sarah Paulson,","279,690",18
272,IO (2019),4.7,"Adventure, Drama, Sci-Fi",96 min,Jonathan Helpert,"Margaret Qualley,Anthony Mackie,Danny Huston,Tom Payne,","31,119",
273,Soni (2018),7.1,Drama,97 min,Ivan Ayr,"Geetika Vidya Ohlyan,Saloni Batra,Vikas Shukla,Mohit Chauhan,","2,379",
274,Polar (I) (2019),6.3,"Action, Crime, Drama",118 min,Jonas Åkerlund,"Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Fei Ren,","75,562",18
275,Velvet Buzzsaw (2019),5.7,"Horror, Mystery, Thriller",113 min,Dan Gilroy,"Jake Gyllenhaal,Rene Russo,Zawe Ashton,Tom Sturridge,","54,221",R
276,High Flying Bird (2019),6.2,"Drama, Sport",90 min,Steven Soderbergh,"André Holland,Melvin Gregg,Eddie Tavares,Farah Bala,","7,598",
277,Firebrand (2019),5.1,Drama,116 min,Aruna Raje,"Usha Jadhav,Girish Kulkarni,Sachin Khedekar,Rajeshwari Sachdev,",242,
278,Paris est à nous (2019),4.6,Drama,83 min,Elisabeth Vogler,"Noémie Schmidt,Grégoire Isvarine,Marie Mottet,Lou Castel,","1,254",
279,Paddleton (2019),7.2,"Comedy, Drama",89 min,Alex Lehmann,"Christine Woods,Mark Duplass,Ray Romano,Jen Sung,","11,262",
280,Walk,6.4,"Biography, Drama",100 min,Conor Allyn,"Spencer Locke,Missi Pyle,Bailey Chase,Alyvia Alyn Lind,","1,921",
281,Juanita (I) (2019),5.9,Drama,90 min,Clark Johnson,"Alfre Woodard,Bonnie Johnson,Jordan Nia Elizabeth,Acoryé White,","2,092",
282,Triple Frontier (2019),6.4,"Action, Adventure, Crime",125 min,J.C. Chandor,"Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund,","108,047",18
